,Condition,Tissue
Control,Control,Gallbladder
Control.1,Control,Gallbladder
Control.2,Control,Gallbladder
Control.3,Control,Gallbladder
Control.4,Control,Gallbladder
Control.5,Control,Gallbladder
Control.6,Control,Gallbladder
Control.7,Control,Gallbladder
Control.8,Control,Gallbladder
Control.9,Tumor,Gallbladder
Tumor,Control,Gallbladder
Tumor.1,Tumor,Gallbladder
Tumor.2,Tumor,Gallbladder
Tumor.3,Tumor,Gallbladder
Tumor.4,Tumor,Gallbladder
Tumor.5,Tumor,Gallbladder
Tumor.6,Tumor,Gallbladder
Tumor.7,Tumor,Gallbladder
Tumor.8,Tumor,Gallbladder
Tumor.9,Tumor,Gallbladder
